Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
46,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,0,0.684,0.281,0.034,0.002,0.000,0.000,0
47,1,0.144,0.679,0.167,0.010,0.000,0.000,0
47,2,0.032,0.267,0.635,0.066,0.000,0.000,0
47,3,0.008,0.081,0.419,0.492,0.000,0.000,0
47,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,0,0.953,0.047,0.001,0.000,0.000,0.000,0
48,1,0.089,0.874,0.037,0.000,0.000,0.000,0
48,2,0.008,0.158,0.817,0.017,0.000,0.000,0
48,3,0.000,0.013,0.257,0.730,0.000,0.000,0
48,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,0,0.972,0.028,0.001,0.000,0.000,0.000,0
49,1,0.061,0.926,0.014,0.000,0.000,0.000,0
49,2,0.002,0.111,0.876,0.012,0.000,0.000,0
49,3,0.000,0.000,0.139,0.861,0.000,0.000,0
49,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,0,0.849,0.144,0.007,0.000,0.000,0.000,0
50,1,0.133,0.766,0.096,0.005,0.000,0.000,0
50,2,0.024,0.244,0.689,0.043,0.000,0.000,0
50,3,0.006,0.034,0.343,0.617,0.000,0.000,0
50,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,0,0.959,0.041,0.001,0.000,0.000,0.000,0
51,1,0.059,0.912,0.029,0.000,0.000,0.000,0
51,2,0.002,0.124,0.862,0.011,0.000,0.000,0
51,3,0.000,0.018,0.127,0.855,0.000,0.000,0
51,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,0,0.970,0.030,0.000,0.000,0.000,0.000,0
52,1,0.030,0.952,0.018,0.000,0.000,0.000,0
52,2,0.001,0.052,0.939,0.008,0.000,0.000,0
52,3,0.000,0.006,0.045,0.948,0.000,0.000,0
52,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,0,0.801,0.188,0.012,0.000,0.000,0.000,0
53,1,0.069,0.810,0.115,0.006,0.000,0.000,0
53,2,0.007,0.129,0.808,0.055,0.000,0.000,0
53,3,0.000,0.032,0.239,0.729,0.000,0.000,0
