Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.000,1.000,0.000,0.000,0.000,0.000,0
22,2,0.000,0.000,1.000,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,1.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.791,0.188,0.020,0.001,0.000,0.000,0
23,1,0.827,0.162,0.011,0.000,0.000,0.000,0
23,2,0.786,0.143,0.071,0.000,0.000,0.000,0
23,3,0.000,1.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,1.000,0.000,0.000,0.000,0.000,0.000,0
24,1,0.085,0.915,0.000,0.000,0.000,0.000,0
24,2,0.010,0.247,0.742,0.000,0.000,0.000,0
24,3,0.000,0.000,0.000,1.000,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0,1.000,0.000,0.000,0.000,0.000,0.000,0
25,1,0.000,1.000,0.000,0.000,0.000,0.000,0
25,2,0.000,0.000,1.000,0.000,0.000,0.000,0
25,3,0.000,0.000,0.000,1.000,0.000,0.000,0
25,4,0.000,0.000,0.000,0.000,0.000,0.000,0
25,5,0.000,0.000,0.000,0.000,0.000,0.000,0
25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0,0.980,0.020,0.000,0.000,0.000,0.000,0
26,1,0.279,0.712,0.009,0.000,0.000,0.000,0
26,2,0.097,0.486,0.403,0.014,0.000,0.000,0
26,3,0.000,0.000,0.750,0.250,0.000,0.000,0
26,4,0.000,0.000,0.000,0.000,0.000,0.000,0
26,5,0.000,0.000,0.000,0.000,0.000,0.000,0
26,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0,0.980,0.020,0.000,0.000,0.000,0.000,0
27,1,0.110,0.884,0.007,0.000,0.000,0.000,0
27,2,0.025,0.200,0.775,0.000,0.000,0.000,0
27,3,0.000,0.000,0.000,1.000,0.000,0.000,0
27,4,0.000,0.000,0.000,0.000,0.000,0.000,0
27,5,0.000,0.000,0.000,0.000,0.000,0.000,0
27,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,0,1.000,0.000,0.000,0.000,0.000,0.000,0
28,1,0.118,0.882,0.000,0.000,0.000,0.000,0
28,2,0.000,0.139,0.861,0.000,0.000,0.000,0
28,3,0.000,0.000,0.000,1.000,0.000,0.000,0
28,4,0.000,0.000,0.000,0.000,0.000,0.000,0
28,5,0.000,0.000,0.000,0.000,0.000,0.000,0
28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0,0.900,0.095,0.005,0.000,0.000,0.000,0
29,1,0.000,0.919,0.077,0.005,0.000,0.000,0
29,2,0.000,0.000,0.903,0.097,0.000,0.000,0
29,3,0.000,0.000,0.000,1.000,0.000,0.000,0
29,4,0.000,0.000,0.000,0.000,0.000,0.000,0
29,5,0.000,0.000,0.000,0.000,0.000,0.000,0
29,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,0,0.979,0.020,0.001,0.000,0.000,0.000,0
30,1,0.092,0.892,0.016,0.000,0.000,0.000,0
30,2,0.000,0.131,0.859,0.010,0.000,0.000,0
30,3,0.000,0.000,0.250,0.750,0.000,0.000,0
30,4,0.000,0.000,0.000,0.000,0.000,0.000,0
30,5,0.000,0.000,0.000,0.000,0.000,0.000,0
30,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,0,1.000,0.000,0.000,0.000,0.000,0.000,0
31,1,0.000,1.000,0.000,0.000,0.000,0.000,0
31,2,0.000,0.000,1.000,0.000,0.000,0.000,0
31,3,0.000,0.000,0.000,1.000,0.000,0.000,0
31,4,0.000,0.000,0.000,0.000,0.000,0.000,0
31,5,0.000,0.000,0.000,0.000,0.000,0.000,0
31,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,0,0.919,0.077,0.004,0.000,0.000,0.000,0
32,1,0.234,0.713,0.050,0.003,0.000,0.000,0
32,2,0.038,0.324,0.610,0.029,0.000,0.000,0
32,3,0.000,0.143,0.571,0.286,0.000,0.000,0
32,4,0.000,0.000,0.000,0.000,0.000,0.000,0
32,5,0.000,0.000,0.000,0.000,0.000,0.000,0
32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,0,0.929,0.070,0.001,0.000,0.000,0.000,0
33,1,0.000,0.939,0.061,0.000,0.000,0.000,0
33,2,0.000,0.000,0.963,0.037,0.000,0.000,0
33,3,0.000,0.000,0.000,1.000,0.000,0.000,0
33,4,0.000,0.000,0.000,0.000,0.000,0.000,0
33,5,0.000,0.000,0.000,0.000,0.000,0.000,0
33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,0,1.000,0.000,0.000,0.000,0.000,0.000,0
34,1,0.000,1.000,0.000,0.000,0.000,0.000,0
34,2,0.000,0.000,1.000,0.000,0.000,0.000,0
34,3,0.000,0.000,0.000,1.000,0.000,0.000,0
34,4,0.000,0.000,0.000,0.000,0.000,0.000,0
34,5,0.000,0.000,0.000,0.000,0.000,0.000,0
34,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,0,0.616,0.311,0.067,0.006,0.000,0.000,0
35,1,0.087,0.633,0.247,0.030,0.002,0.000,0
35,2,0.010,0.176,0.663,0.126,0.025,0.000,0
35,3,0.000,0.077,0.000,0.923,0.000,0.000,0
35,4,0.000,0.000,0.000,0.000,0.000,0.000,0
35,5,0.000,0.000,0.000,0.000,0.000,0.000,0
35,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0,0.945,0.055,0.001,0.000,0.000,0.000,0
36,1,0.095,0.878,0.026,0.001,0.000,0.000,0
36,2,0.007,0.176,0.801,0.016,0.000,0.000,0
36,3,0.010,0.021,0.302,0.667,0.000,0.000,0
36,4,0.000,0.000,0.000,0.125,0.875,0.000,0
36,5,0.000,0.000,0.000,0.000,0.000,0.000,0
36,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,0,0.949,0.051,0.001,0.000,0.000,0.000,0
37,1,0.000,0.958,0.042,0.000,0.000,0.000,0
37,2,0.000,0.000,0.973,0.026,0.002,0.000,0
37,3,0.000,0.000,0.000,1.000,0.000,0.000,0
37,4,0.000,0.000,0.000,0.000,1.000,0.000,0
37,5,0.000,0.000,0.000,0.000,0.000,0.000,0
37,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,0,0.689,0.268,0.039,0.004,0.000,0.000,0
38,1,0.045,0.711,0.224,0.019,0.001,0.000,0
38,2,0.001,0.062,0.761,0.165,0.010,0.000,0
38,3,0.000,0.021,0.191,0.713,0.074,0.000,0
38,4,0.000,0.000,0.000,0.250,0.750,0.000,0
38,5,0.000,0.000,0.000,0.000,0.000,0.000,0
38,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,0,0.943,0.055,0.001,0.000,0.000,0.000,0
39,1,0.063,0.893,0.044,0.000,0.000,0.000,0
39,2,0.007,0.122,0.845,0.025,0.001,0.000,0
39,3,0.000,0.018,0.127,0.838,0.018,0.000,0
39,4,0.000,0.000,0.091,0.273,0.636,0.000,0
39,5,0.000,0.000,0.000,0.000,0.000,0.000,0
39,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0,1.000,0.000,0.000,0.000,0.000,0.000,0
40,1,0.024,0.976,0.000,0.000,0.000,0.000,0
40,2,0.000,0.050,0.950,0.000,0.000,0.000,0
40,3,0.000,0.000,0.067,0.933,0.000,0.000,0
40,4,0.000,0.000,0.000,0.105,0.895,0.000,0
40,5,0.000,0.000,0.000,0.000,0.000,0.000,0
40,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0,0.385,0.397,0.178,0.036,0.004,0.000,0
41,1,0.020,0.467,0.373,0.120,0.019,0.000,0
41,2,0.004,0.052,0.540,0.332,0.068,0.003,0
41,3,0.000,0.014,0.066,0.660,0.236,0.024,0
41,4,0.000,0.000,0.000,0.235,0.471,0.294,0
41,5,0.000,0.000,0.000,0.000,0.000,0.000,0
41,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,0,0.924,0.075,0.001,0.000,0.000,0.000,0
42,1,0.070,0.867,0.062,0.001,0.000,0.000,0
42,2,0.009,0.140,0.808,0.041,0.001,0.000,0
42,3,0.000,0.024,0.205,0.747,0.024,0.000,0
42,4,0.000,0.000,0.023,0.231,0.740,0.006,0
42,5,0.000,0.000,0.000,0.000,0.214,0.786,0
42,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,0,0.975,0.025,0.000,0.000,0.000,0.000,0
43,1,0.059,0.917,0.024,0.000,0.000,0.000,0
43,2,0.003,0.118,0.865,0.015,0.000,0.000,0
43,3,0.000,0.007,0.133,0.850,0.010,0.000,0
43,4,0.000,0.000,0.040,0.146,0.808,0.007,0
43,5,0.000,0.000,0.000,0.000,0.250,0.750,0
43,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,0,0.661,0.285,0.049,0.005,0.001,0.000,0
44,1,0.048,0.707,0.218,0.027,0.001,0.000,0
44,2,0.001,0.072,0.719,0.187,0.019,0.001,0
44,3,0.000,0.003,0.153,0.698,0.142,0.003,0
44,4,0.000,0.000,0.000,0.144,0.795,0.061,0
44,5,0.000,0.000,0.000,0.000,0.100,0.900,0
44,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,0,0.924,0.076,0.000,0.000,0.000,0.000,0
45,1,0.021,0.901,0.078,0.001,0.000,0.000,0
45,2,0.002,0.048,0.902,0.047,0.002,0.000,0
45,3,0.000,0.006,0.064,0.896,0.034,0.000,0
45,4,0.000,0.000,0.000,0.084,0.907,0.009,0
45,5,0.000,0.000,0.000,0.000,0.095,0.905,0
